ID,Avg Sales
"109361","275.904648321764"
"109361","1752.6132633777"
"109361","2026.13564040406"
"109361","4106.65734942905"
"109361","5560.29744474431"
"109361","19152.3448073587"
"109361","105618.839869926"
"109361","113111.925421656"
"109361","193756.478518363"
"109361","220375.0915767"
"109361","331029.125798738"
"109361","451411.568088486"
"109361","650064.473200002"
"109361","712867.675740347"
"109361","779706.313584155"
"109361","904414.467382595"
"109361","2821848.00200968"
"109385","5832.94939690145"
"109385","6959.37546862193"
"109385","17788.1011489679"
"109385","31820.1262338956"
"109385","32709.342882952"
"109385","42589.0368069314"
"109385","63764.3261885041"
"109385","86873.6223886771"
"109385","99894.5979049639"
"109385","99926.0644405244"
"109385","135035.032212797"
"109385","285310.908860089"
"109385","298465.916460147"
"109385","625064.739204349"
"6633927da90d9c6029fb6be3","22712.4296875"
"679bf40572865833cfa1917b","142616.5"
"67ae44bdc64ec3652b2b86cb","540165.5"
"87298","15483.2027273409"
"87298","16110.2678469006"
"87298","17004.4090140428"
"87298","17629.5305248475"
"87298","22109.0453151398"
"87298","48447.717152512"
"87298","66961.2119711109"
"87298","187501.181186339"
"87298","304858.818238189"
"87298","315893.996457173"
"87298","325230.061802868"
"87298","335794.638233422"
"87298","385477.815656685"
"87298","716200.078013221"
"87298","754557.002349099"
"87298","1670934.76908842"
"87298","3196350.79257865"
"8_k_p_34b5ef20-0f9b-485f-93e9-c6d27823595d","606334.043392181"
"8_k_p_76d7e4b1-7ea3-4ecd-9a9d-967ae872410d","6979994.22923463"
