Audience,Avg Sales
"Category Buyers of Sunchips 7oz ","12819.2214510691"
"Category Buyers of SunChips 7ozStarry 6pk 169floz 327","20111.1835366601"
"Category Buyers of SunChipsBaked Chips 313","2486.35913807083"
"Competitive FMB Buyers L26 DISP","322731.75239563"
"Current Pepsi, Dew, Starry, Tostitos, Lays, Doritos, & Quaker Lite Snacks Buyers 0524 DISP","2942600.45504807"
"Current Tyson and PepsiCo Buyers 0524 DISP","2772714.01742721"
"Flavored Malt Beverage and RTD Cocktail Buyers DISP","218224.457633972"
"Grilling Enthusiasts","742495.700873242"
"Kids Category Buyers","649.208910844652"
"Lookalike Buyers of  DorTostitos Pty Sz 14518oz Dips 15oz","247835.335603097"
"Lookalike Buyers of  PepMtnDewStarryMUG 10pk Mini","72863.5198325006"
"Lookalike Buyers of bubly 8pk Cans 327","38016.4575495232"
"Lookalike Buyers of bubly 8pk Cans 36","81928.1203755082"
"Lookalike Buyers of CapnCrunchLIFE 10313oz","14856.0324690284"
"Lookalike Buyers of Cheetos Pty Sz 13415oz","153142.351735192"
"Lookalike Buyers of Chewy Granola Bars 58ct","28115.0382071235"
"Lookalike Buyers of Chewy Granola Simply Granola 126241","14040.5393531934"
"Lookalike Buyers of Chewy Value Pack 18ct","22274.9522050069"
"Lookalike Buyers of FL Baked Chips","68651.290290476"
"Lookalike Buyers of FL Mpk 10ct","66593.7841336848"
"Lookalike Buyers of FL Mpk 28ct","63346.4717945377"
"Lookalike Buyers of Gat 8pk","264297.052209689"
"Lookalike Buyers of Gat Alkaline Water 1L","1471.75810517621"
"Lookalike Buyers of Gat Alkaline Water 2367floz","1722.15128268038"
"Lookalike Buyers of GatoradePropel 18pk Bottles 36","65170.7854296852"
"Lookalike Buyers of GatoradePropel12pk Bottles 313","157361.811306685"
"Lookalike Buyers of MacARoni Box 58oz","5955.83022869236"
"Lookalike Buyers of MuscleMilkPro Shake Get MM Plant","71.9508891401084"
"Lookalike Buyers of MuscleMilkPro Shake Get MM Plant","735.046175251175"
"Lookalike Buyers of MuscleMilkPro Shake Get MM Plant","805.218096594825"
"Lookalike Buyers of PepsiMtnDew 8pk 12 fl oz 313","22484.6846937872"
