Start Date,Avg Sales
"2024-03-06","15483.2027273409"
"2024-03-06","16110.2678469006"
"2024-03-06","17004.4090140428"
"2024-03-06","17629.5305248475"
"2024-03-06","22109.0453151398"
"2024-03-06","48447.717152512"
"2024-03-06","66961.2119711109"
"2024-03-06","187501.181186339"
"2024-03-06","304858.818238189"
"2024-03-06","315893.996457173"
"2024-03-06","325230.061802868"
"2024-03-06","335794.638233422"
"2024-03-06","385477.815656685"
"2024-03-06","716200.078013221"
"2024-03-06","754557.002349099"
"2024-03-06","1670934.76908842"
"2024-03-06","3196350.79257865"
"2024-05-14","22712.4296875"
"2024-05-30","6979994.22923463"
"2024-08-21","275.904648321764"
"2024-08-21","1752.6132633777"
"2024-08-21","2026.13564040406"
"2024-08-21","4106.65734942905"
"2024-08-21","5560.29744474431"
"2024-08-21","5832.94939690145"
"2024-08-21","6959.37546862193"
"2024-08-21","17788.1011489679"
"2024-08-21","19152.3448073587"
"2024-08-21","31820.1262338956"
"2024-08-21","32709.342882952"
"2024-08-21","42589.0368069314"
"2024-08-21","63764.3261885041"
"2024-08-21","86873.6223886771"
"2024-08-21","99894.5979049639"
"2024-08-21","99926.0644405244"
"2024-08-21","105618.839869926"
"2024-08-21","113111.925421656"
"2024-08-21","135035.032212797"
"2024-08-21","193756.478518363"
"2024-08-21","220375.0915767"
"2024-08-21","285310.908860089"
"2024-08-21","298465.916460147"
"2024-08-21","331029.125798738"
"2024-08-21","451411.568088486"
"2024-08-21","625064.739204349"
"2024-08-21","650064.473200002"
"2024-08-21","712867.675740347"
"2024-08-21","779706.313584155"
"2024-08-21","904414.467382595"
"2024-08-21","2821848.00200968"
"2024-10-07","606334.043392181"
"2025-04-30","142616.5"
"2025-04-30","540165.5"
